id;name;short_code;pan_number;gst_number;contact_id
1;"Hfteoaw7";"Sp0";Phased application;payment FTP;1
2;"Kra31477";"Pstw3";Movies Identity deposit;partnerships card Granite;2
3;"Jxpk";"Pxfa907";object-oriented;open-source Cambridgeshire;3
4;"Gr175";"Mwldnen0";Rustic Steel Keyboard Peso Uruguayo Uruguay Peso en Unidades Indexadas virtual;Money Market Account;4
5;"Nbj1492";"Lvij";Lempira;demand-driven;5
6;"Fba";"Nqpj7176";Illinois;Industrial Latvia Licensed Steel Soap;6
7;"Ybaah0";"Six6712";Credit Card Account Rustic Metal Sausages Granite;dynamic whiteboard;7
8;"Zdbgnh4";"Kexzog50";leverage Games;quantifying;8
9;"Ahitkwz9";"Xzmo";disintermediate Gorgeous Wooden Table;vertical one-to-one Kenyan Shilling;9
10;"Thr11264";"Zvovxm0";envisioneer modular;Bacon Texas;10
