id;name;pan_number;gst_number;contact_id
1;"Avnt726";algorithm Pants;multi-byte Soft;1
2;"Jssvozd98085";cross-platform;index bricks-and-clicks Secured;2
3;"Tyebdnh20951";leading-edge;SCSI;3
4;"Rwvawc6980";Accounts Mali Orchestrator;analyzer;4
5;"Xugi34";Monaco Exclusive Incredible Fresh Keyboard;compelling Algeria;5
6;"Zu37465";turn-key Licensed;payment Bedfordshire JBOD;6
7;"An88";Licensed Granite Shirt Fresh;Jewelery connect TCP;7
8;"Dfd4";synthesize Refined sky blue;drive bus;8
9;"Hqpjd85245";Highway;Kiribati 4th generation Usability;9
10;"Qivn93363";compressing;next-generation Automotive;10
